연번,약수터명,동명,총대장균군,일반세균,질산성질소,적합
1,백수,모라,양 성,10,6.7,부적합
2,이칠,모라,음 성,20,0.9,적합
3,운수사,모라,음 성,10,1.1,적합
4,서당골,모라,음 성,10,,적합
5,청수,괘법,음 성,20,2.7,적합
6,사상,괘법,음 성,10,2.2,적합
7,탑골,괘법,양 성,10,2.6,부적합
8,삼각산,괘법,음 성,10,2.7,적합
9,괘내,괘법,음 성,20,3.1,적합
10,황씨묘위,감전,음 성,10,3.1,적합
11,체육공원,감전,음 성,20,4,적합
12,건강,주례,음 성,10,1.8,적합
13,백양골,주례,양 성,10,2.8,부적합
14,백양정,주례,음 성,10,7.5,적합
15,승록정,주례,음 성,20,2.3,부적합
16,복천,주례,음 성,20,2.4,적합
17,밤골,주례,음 성,,,적합
18,삼운정,주례,음 성,20,3.8,적합
19,무명,주례,음 성,110,0.7,부적합
20,승학,학장,양 성,,0.3,부적합
21,거북,학장,음 성,20,1,적합
22,백련,엄궁,양 성,40,1.9,부적합
23,불심,엄궁,음 성,20,1.7,적합
24,승학,엄궁,음 성,20,2.6,적합
